20                                      Ekin                  Epot 0                  Epot 1                  Etot 0                  Etot 1                   Pop 0                   Pop 1
0                         0.0646365459792249   -302.8744202625842377   -302.7132239889750167   -302.8744202625842377   -302.7132239889750167      0.0000000000000000      1.0000000000000000
1                         0.0654847890366631   -302.8744461502266176   -302.7132418681487138   -302.8744461502266176   -302.7132418681487138      0.0000000000000000      1.0000000000000000
2                         0.0659487777127209   -302.8743160009180997   -302.7132512784476717   -302.8743160009180997   -302.7132512784476717      0.0000000000000000      1.0000000000000000
3                         0.0658598202903273   -302.8739620467969189   -302.7132639440276307   -302.8739620467969189   -302.7132639440276307      0.0000014457982966      0.9999985542016935
4                         0.0650674744686775   -302.8735285551209699   -302.7132578644674368   -302.8735285551209699   -302.7132578644674368      0.0000006259330035      0.9999993740669970
5                         0.0636456597230974   -302.8731235770686112   -302.7132326246554612   -302.8731235770686112   -302.7132326246554612      0.0000008489383662      0.9999991510616301
6                         0.0619712599608691   -302.8726864341041392   -302.7132002417883996   -302.8726864341041392   -302.7132002417883996      0.0000007749193440      0.9999992250806526
7                         0.0605425746050702   -302.8722371538412403   -302.7131684621748491   -302.8722371538412403   -302.7131684621748491      0.0000008069327142      0.9999991930672830
8                         0.0598384502115542   -302.8718336639900031   -302.7131502553037308   -302.8718336639900031   -302.7131502553037308      0.0000007959945321      0.9999992040054664
9                         0.0600851386335726   -302.8715005967429192   -302.7131611476191324   -302.8715005967429192   -302.7131611476191324      0.0000007888126547      0.9999992111873532
10                        0.0610363584043192   -302.8712006286156679   -302.7132093044216958   -302.8712006286156679   -302.7132093044216958      0.0000007997175855      0.9999992002824123
11                        0.0620360384886210   -302.8709052064814955   -302.7132468344167933   -302.8709052064814955   -302.7132468344167933      0.0000008628335236      0.9999991371664847
12                        0.0625168602928118   -302.8705375474156654   -302.7132529152783036   -302.8705375474156654   -302.7132529152783036      0.0000009775077466      0.9999990224922494
13                        0.0623267608538612   -302.8700283610399424   -302.7132406661060600   -302.8700283610399424   -302.7132406661060600      0.0000011147896997      0.9999988852103040
14                        0.0616482254465550   -302.8694238376282328   -302.7132148294577974   -302.8694238376282328   -302.7132148294577974      0.0000012675641406      0.9999987324358692
15                        0.0608640451093561   -302.8687797831752846   -302.7131891310574474   -302.8687797831752846   -302.7131891310574474      0.0000014298188202      0.9999985701811825
16                        0.0603784554712177   -302.8681295370253679   -302.7131753260152323   -302.8681295370253679   -302.7131753260152323      0.0000015989511501      0.9999984010488318
17                        0.0604188526281739   -302.8675560112201310   -302.7131822424751135   -302.8675560112201310   -302.7131822424751135      0.0000017420228755      0.9999982579771275
18                        0.0609637883053324   -302.8670911834835238   -302.7131912560733440   -302.8670911834835238   -302.7131912560733440      0.0000018187361540      0.9999981812638514
19                        0.0618538060797225   -302.8666299223805254   -302.7132103188461087   -302.8666299223805254   -302.7132103188461087      0.0000019051165762      0.9999980948834375
20                        0.0628876446802607   -302.8661028055194038   -302.7132121841631260   -302.8661028055194038   -302.7132121841631260      0.0000020413736793      0.9999979586263001
21                        0.0639485836552290   -302.8655662226746585   -302.7132141524668896   -302.8655662226746585   -302.7132141524668896      0.0000021725234135      0.9999978274765882
22                        0.0649620908247104   -302.8650839591797421   -302.7132173123470125   -302.8650839591797421   -302.7132173123470125      0.0000022712800666      0.9999977287199441
23                        0.0658162275832908   -302.8646100596143924   -302.7132246682599543   -302.8646100596143924   -302.7132246682599543      0.0000023682117405      0.9999976317882684
24                        0.0663398045765622   -302.8640933044657686   -302.7132421618171634   -302.8640933044657686   -302.7132421618171634      0.0000025141807651      0.9999974858192482
25                        0.0662961665045343   -302.8635600857135728   -302.7132534444955922   -302.8635600857135728   -302.7132534444955922      0.0000026753043387      0.9999973246956493
